tag,open,closed
Contratos,46.0,15.0
Despesas,50.0,996.0
Licitação,41.0,343.0
Servidores Públicos,61.0,61.0
Receitas,0.0,0.0
Informações institucionais,0.0,0.0
Terceiro Setor,0.0,0.0
Concursos Públicos,0.0,0.0
Obras públicas,0.0,0.0
Acesso à informação,0.0,0.0
