,title,number,created_at,closed_at,labels,state
3691,Coletor para template ADPM - Acesso a Informação - Relatório Estatístico,905,2022-06-23 14:20:13,2022-06-23 14:20:54,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""não-localizado""), Label(name=""subtag-Relatório Estatístico"")]",closed
3692,Coletor para o template Siplanweb - Orçamento - Legislação,506,2022-05-02 12:47:46,2022-05-19 10:32:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Orçamento""), Label(name=""subtag-Legislação""), Label(name=""já coletado"")]",closed
3695,Coletor para o template ADPM - Acesso à Informação - Requisitos Exigidos,967,2022-06-23 15:55:57,2022-06-23 16:04:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""subtag-Requisitos Exigidos"")]",closed
3696,Coletor para o template ADPM (22) - Servidores,970,2022-06-28 13:45:26,2022-06-28 13:49:25,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Servidores Públicos""), Label(name=""não-coletável-timeout"")]",closed
3697,Coletor para o template Memory (66) - Despesas - Relatórios e Contas Públicas,972,2022-07-04 23:33:23,2022-07-07 11:55:45,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas""), Label(name=""[0] Coleta""), Label(name=""subtag - Relatórios de Gestão Fiscal"")]",closed
3698,Coletor para o template Betha - Receitas - Ingressos de Receitas,973,2022-07-07 10:36:55,2022-07-13 01:15:01,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Receitas""), Label(name=""subtag-Dados das receitas""), Label(name=""campo-Ingressos de Receitas"")]",closed
3699,Coletor para o template PT - Contratos,975,2022-07-07 19:44:23,2022-07-14 00:22:55,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-PT""), Label(name=""tag-Contratos"")]",closed
3701,Coletor para o template Betha - Terceiro Setor - Repasses,1042,2022-07-13 02:19:16,2022-07-26 12:41:26,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Terceiro Setor""), Label(name=""subtag-Repasses"")]",closed
3702,Coletor para o template Betha - Informações Institucionais - Unidades Administrativas,1039,2022-07-13 01:43:05,2022-07-13 01:47:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Unidades Administrativas"")]",closed
3703,Coletor para o template Betha - Informações Institucionais - Estrutura Organizacional,1040,2022-07-13 01:46:05,2022-07-13 01:47:23,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Estrutura Organizacional"")]",closed
3704,Coletor para o template Betha - Terceiro Setor - Convênios,1041,2022-07-13 02:18:12,2022-07-26 11:13:12,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Convênios""), Label(name=""subtag-Dados de Parcerias"")]",closed
3705,Coletor para o template Betha - Informações Institucionais - Leis Municipais,1044,2022-07-13 02:22:36,2022-07-28 19:41:05,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""subtag-Leis Municipais"")]",closed
3707,Coletor para o template ADPM - Despesas - Geral,512,2022-05-09 13:17:54,2022-06-08 16:19:23,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ADPM""), Label(name=""[E] Externa""), Label(name=""[0] Coleta"")]",closed
3708,Coletor para o template Síntese Tecnologia e informatica - Servidores Públicos - Dispêndios,1326,2022-07-21 20:10:03,2022-07-21 20:12:10,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dispêndios"")]",closed
3709,Coletor para o template Síntese Tecnologia e informatica - Servidores Públicos - Auxílios,1325,2022-07-21 20:08:55,2022-07-21 20:12:10,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Auxílios"")]",closed
3710,Coletor para o template ADPM - Acesso à Informação - Informações,968,2022-06-23 16:06:21,2022-06-23 16:10:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Acesso à Informação""), Label(name=""template-ADPM""), Label(name=""subtag-Informações"")]",closed
3711,Coletor para o template Memory (66) - Despesas - Leis Orçamentárias,1328,2022-07-25 12:05:14,2022-07-26 12:45:45,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-Leis Orçamentárias""), Label(name=""[0] Coleta"")]",closed
3712,Coletor para template ADPM - Informações institucionais do município,904,2022-06-22 15:18:50,2022-06-22 15:20:10,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado"")]",closed
3714,Coletor para o template ABO - Despesas - Leis Orçamentárias,1330,2022-07-26 17:37:44,2022-07-27 13:03:00,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ABO""), Label(name=""subtag-Leis Orçamentárias"")]",closed
3716,Coletor para o template Síntese e Tecnologia - Servidores Públicos - Agentes Politicos,515,2022-05-11 23:20:53,2022-05-20 01:03:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos""), Label(name=""[0] Coleta"")]",closed
3717,Coletor para o template Memory (66) - Despesas - Empenhos,1420,2022-07-27 11:26:56,2022-07-27 11:28:29,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos""), Label(name=""não-coletável-timeout"")]",closed
3720,Coletor para o template ABO - Contratos,1327,2022-07-22 14:46:49,2022-07-28 15:02:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Contratos"")]",closed
3721,Coletor para o template ABO - Informações institucionais - Leis Municipais,1233,2022-07-18 13:40:34,2022-07-22 12:48:03,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Informações Institucionais""), Label(name=""subtag-Leis Municipais"")]",closed
3725,Coletor para o template ABO - Obras Públicas,1045,2022-07-13 20:39:56,2022-07-28 15:19:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Obras Públicas""), Label(name=""não-localizado-link-incorreto"")]",closed
3729,Coletor para o template da Betha (37) (Licitações),81,2021-11-08 18:48:29,2022-01-14 13:49:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Betha"")]",closed
3734,Coletor para o template Siplanweb - Terceiro Setor - Convênios,482,2022-04-18 11:46:42,2022-04-28 11:54:56,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Convênios"")]",closed
3737,Coletor para o template da Fiorilli sociedade civil (7) (Licitações),87,2021-11-10 17:10:52,2022-01-28 13:40:51,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Fiorilli"")]",closed
3738,Coletor para o template da Portal Fácil (5) (Licitações),89,2021-11-19 10:11:08,2021-12-13 10:33:29,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Portal Facil (5)"")]",closed
3742,Coletor para o template da PT (45) (Licitações),96,2021-11-19 10:37:23,2022-01-20 14:51:32,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-PT"")]",closed
3743,Coletor para o template ADPM (22) - Licitações,186,2022-01-17 13:33:20,2022-01-26 13:20:54,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-ADPM""), Label(name=""não-localizado"")]",closed
3744,Coletor para o template Siplanweb - Acesso à Informação - Requisitos Exigidos,478,2022-04-06 11:37:32,2022-04-18 11:44:33,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""subtag-Requisitos Exigidos"")]",closed
3745,Coletor para o template Betha - Despesas - Relatórios e Contas Públicas,110,2021-12-14 17:04:57,2022-03-14 10:30:53,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas""), Label(name=""subtag-Relatórios""), Label(name=""subtag-Contas Públicas"")]",closed
3746,Coletor para o template Síntese Tecnologia e informatica - Despesas - Empenhos Anulados,327,2022-02-14 19:46:44,2022-02-23 13:04:31,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos"")]",closed
3750,Coletor para o template Síntese Tecnologia e Informática - Despesas - Contas Públicas,190,2022-01-26 16:42:07,2022-02-17 16:18:49,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas"")]",closed
3752,Coletor para o template Síntese Tecnologia e informatica - Servidores Públicos - Folha de Pagamento,292,2022-02-04 21:11:08,2022-05-19 00:55:59,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Servidores Públicos"")]",closed
3754,Coletor para o template Betha - Servidores Públicos - Dispêndios,312,2022-02-11 11:23:47,2022-07-13 02:12:36,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dispêndios"")]",closed
3755,Coletor para o template Betha - Acesso à Informação - Dados Abertos,313,2022-02-11 11:24:40,2022-07-13 02:09:32,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Dados Abertos"")]",closed
3756,Coletor para o template Betha - Despesas com diárias,317,2022-02-11 11:28:20,2022-07-21 23:44:13,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas com diárias"")]",closed
3757,Coletor para o template Síntese Tecnologia e informatica - Despesas - Empenhos Emitidos,329,2022-02-21 13:40:41,2022-03-02 21:57:17,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Empenhos Emitidos"")]",closed
3758,Coletor para o template Siplanweb - Despesas - Pagamentos,330,2022-02-23 13:22:53,2022-03-02 18:29:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Pagamentos"")]",closed
3759,Coletor para o template ADPM (22) - Obras Públicas,757,2022-05-17 23:18:10,2022-05-17 23:20:48,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Obras Públicas""), Label(name=""não-localizado"")]",closed
3760,Coletor para o template Síntese Tecnologia e informatica - Despesas - Empenhos Liquidados,332,2022-03-02 21:54:23,2022-03-07 16:37:30,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Empenhos Liquidados"")]",closed
3761,Coletor para o template Siplanweb - Servidores Públicos - Auxílios,487,2022-04-22 22:59:04,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Auxílios"")]",closed
3762,Coletor para o template Siplanweb - Acesso à Informação - Informações,491,2022-04-22 23:05:04,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Informações"")]",closed
3763,Coletor para o template Siplanweb - Terceiro Setor - Repasses,492,2022-04-22 23:05:58,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Terceiro Setor""), Label(name=""não-localizado""), Label(name=""subtag-Repasses"")]",closed
3764,Coletor para o template Siplanweb - Concursos Públicos,493,2022-04-22 23:07:58,2022-04-22 23:18:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Concursos Públicos""), Label(name=""não-localizado"")]",closed
3765,Coletor para o template Siplanweb - Informações Institucionais - Estrutura Organizacional,494,2022-04-22 23:14:11,2022-04-22 23:18:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Estrutura Organizacional"")]",closed
3766,Coletor para o template Siplanweb - Informações Institucionais - Registro das Competências,495,2022-04-22 23:15:03,2022-04-22 23:18:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Registro das Competências"")]",closed
3767,Coletor para o template Siplanweb - Informações Institucionais - Unidades Administrativas,496,2022-04-22 23:15:48,2022-04-22 23:18:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Unidades Administrativas"")]",closed
3768,Coletor para o template Siplanweb - Informações Institucionais - Conselhos Municipais,497,2022-04-22 23:16:30,2022-04-22 23:18:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Conselhos Municipais"")]",closed
3769,Coletor para o template ADPM (22) - Contratos,498,2022-04-25 12:29:48,2022-05-23 12:06:18,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Contratos"")]",closed
3770,Coletor para o template Siplanweb - Terceiro Setor - Aditivos,499,2022-04-25 19:09:57,2022-05-02 13:41:46,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Aditivos"")]",closed
3771,Coletor para o template Síntese Tecnologia e informatica - Pagamentos,376,2022-03-08 16:50:50,2022-03-11 00:43:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Pagamentos"")]",closed
3776,Coletor para o template Sinplanweb - Contas Públicas,504,2022-04-28 12:28:33,2022-05-06 12:48:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas"")]",closed
3778,Coletor para o template da Siplanweb (61) (Licitações),92,2021-11-19 10:22:54,2022-01-21 12:41:37,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Siplanweb"")]",closed
3780,Coletor para o template Siplanweb - Informações Institucionais - Leis Municipais,510,2022-05-09 10:57:27,2022-05-18 21:43:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Informações Institucionais""), Label(name=""subtag-Leis Municipais"")]",closed
3781,Coletor para o template Síntese Tecnologia e Informática - Despesas - Relatório Orçamentário,379,2022-03-14 13:01:04,2022-03-17 16:47:17,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Relatórios"")]",closed
3782,Coletor para o template ADPM (22) - Concursos Públicos,758,2022-05-18 00:07:35,2022-05-18 00:07:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Concursos Públicos""), Label(name=""não-localizado"")]",closed
3783,Coletor para o template ADPM (22) - Receitas - Arrecadação e Classificação,759,2022-05-18 12:42:53,2022-05-23 11:53:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Receitas""), Label(name=""[0] Coleta""), Label(name=""subtag-Arrecadação e Classificação"")]",closed
3785,Coletor para o template ADPM (22) - Terceiro Setor,889,2022-05-27 14:26:03,2022-05-27 14:26:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Terceiro Setor""), Label(name=""não-localizado"")]",closed
3787,Coletor para o template Betha - Obras Públicas,898,2022-06-14 10:44:32,2022-06-15 11:40:39,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Obras Públicas"")]",closed
3788,Coletor para o template Siplanweb - Despesas - Empenhos,191,2022-01-26 16:43:30,2022-02-25 09:33:41,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos"")]",closed
3799,Coletor para o template Siplanweb - Servidores Públicos - Pessoal,417,2022-03-22 22:07:24,2022-04-04 20:29:50,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""subtag-Pessoal"")]",closed
3800,Coletor para o template Betha - Informações Institucionais - Conselhos Municipais,1038,2022-07-13 01:41:46,2022-07-13 01:47:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Conselhos Municipais"")]",closed
3801,Coletor para o template Betha - Acesso à Informação - Relatório Estatístico,899,2022-06-20 11:01:25,2022-06-20 12:03:36,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""subtag-Relatório Estatístico"")]",closed
3803,Coletor para o template Sinplanweb - Depesas com Diarias,481,2022-04-16 14:49:01,2022-04-22 14:15:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas com diárias"")]",closed
3804,Coletor para o template da Habeas data (Licitações),77,2021-11-05 14:24:51,2021-11-12 14:12:13,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Habeas Data"")]",closed
3806,Coletor para o template Memory (66) - Despesas - Pagamentos,1235,2022-07-19 23:25:14,2022-07-22 13:10:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-Pagamentos""), Label(name=""[0] Coleta"")]",closed
3807,Coletor para o template da GRP (27) (Licitações),86,2021-11-09 20:41:52,2022-01-23 19:29:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-GRP"")]",closed
3809,Coletor para o Template 2 (28) (Licitações),97,2021-11-19 10:39:38,2022-02-18 13:52:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Template2"")]",closed
3810,Coletor para o template ADPM (22) - Receitas - Previsão e Classificação,884,2022-05-23 13:40:34,2022-05-24 11:39:02,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Receitas""), Label(name=""subtag-Previsão e Classificação"")]",closed
3811,Coletor para o template Sinplanweb - Contratos,476,2022-04-04 12:44:35,2022-04-14 15:08:03,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Contratos"")]",closed
3812,Coletor para o template Síntese Tecnologia e Informática -Licitações,90,2021-11-19 10:18:38,2022-05-23 20:25:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Síntese tecnologia informatica"")]",closed
3815,Coletor para o template Betha - Servidores Públicos - Quadro de Pessoal,885,2022-05-23 22:24:56,2022-06-03 03:11:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""campo-Quadro de Pessoal"")]",closed
3816,Coletor para o template ABO - Receitas,1046,2022-07-13 22:18:13,2022-07-21 13:41:31,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Receitas"")]",closed
3818,Coletor para o template ADPM - Despesas - Específicas,887,2022-05-24 15:14:04,2022-06-08 16:19:26,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ADPM""), Label(name=""[E] Externa"")]",closed
3819,Coletor para o template ADPM - Despesas - Leis Orçamentárias,888,2022-05-24 15:15:56,2022-06-08 16:19:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ADPM""), Label(name=""[E] Externa""), Label(name=""[0] Coleta"")]",closed
3820,Coletor para o template Betha - Servidores Públicos - Dados de Remuneração,109,2021-12-14 17:04:34,2022-07-13 02:20:26,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dados de Remuneração"")]",closed
3822,Coletor para o template Sinplanweb - Receita Orçamentária,483,2022-04-18 23:43:08,2022-04-29 02:06:38,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Receitas"")]",closed
3831,Coletor para o template Betha - Orçamento - Execução,320,2022-02-11 11:31:16,2022-07-13 01:49:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Orçamento""), Label(name=""não-localizado""), Label(name=""subtag-Execução"")]",closed
3833,Coletor para o template Betha - Terceiro Setor - Aditivos,315,2022-02-11 11:26:42,2022-07-13 01:56:30,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Terceiro Setor""), Label(name=""campo-Aditivos""), Label(name=""subtag-Dados de Parcerias"")]",closed
3834,Coletor para o template Betha - Servidores Públicos - Auxílios,311,2022-02-11 11:23:02,2022-07-13 02:10:25,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Auxílios"")]",closed
3836,Coletor para o template Betha - Informações Institucionais - Registro das Competências,319,2022-02-11 11:29:43,2022-07-13 01:47:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Registro das Competências"")]",closed
3838,Coletor para o template Betha - Concursos Públicos,316,2022-02-11 11:27:26,2022-07-13 01:51:58,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Concursos Públicos""), Label(name=""não-localizado"")]",closed
3840,Coletor para o template Betha - Acesso à Informação - Informações,318,2022-02-11 11:29:33,2022-07-13 02:04:45,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""não-localizado""), Label(name=""subtag-Informações"")]",closed
3844,Coletor para o template Betha - Despesas - Leis orçamentárias,325,2022-02-11 14:36:47,2022-03-14 10:30:09,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas""), Label(name=""subtag-Leis Orçamentárias"")]",closed
3845,Coletor para o template Betha - Despesas - Empenhos e Pagamentos,326,2022-02-11 14:36:51,2022-03-22 22:10:47,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Despesas""), Label(name=""subtag-empenhos"")]",closed
3848,Coletor para o template Betha - Acesso à Informação - Requisitos Exigidos,969,2022-06-27 20:20:02,2022-06-28 10:47:54,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""subtag-Requisitos Exigidos"")]",closed
3849,Coletor para o template Betha - Receitas - Maiores Arrecadações,971,2022-06-29 11:04:45,2022-06-29 12:46:01,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Receitas""), Label(name=""subtag-Dados das receitas""), Label(name=""campo-Maiores Arrecadações"")]",closed
3850,Coletor para o template Siplanweb - Despesas - Contas Públicas,331,2022-03-02 18:04:19,2022-03-25 02:28:38,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Contas Públicas"")]",closed
3851,Coletor para o template Betha - Contratos,893,2022-05-30 10:45:26,2022-06-28 11:03:22,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Contratos"")]",closed
3852,Coletor para o template ADPM (22) - Despesas com Diárias,894,2022-05-30 13:19:15,2022-06-06 12:32:46,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Despesas com diárias""), Label(name=""[0] Coleta"")]",closed
3853,Coletor para o template Síntese Tecnologia e Informática - Despesas - Relatório Gestão Fiscal,378,2022-03-14 12:16:35,2022-03-15 17:57:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Síntese tecnologia informatica""), Label(name=""tag-Despesas""), Label(name=""subtag-Relatórios"")]",closed
3854,Coletor para o template Siplanweb - Despesas - Leis Orçamentárias,380,2022-03-18 00:56:56,2022-03-31 13:22:48,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas""), Label(name=""subtag-Leis Orçamentárias"")]",closed
3856,Coletor para o template ADPM (22) - Orçamento - Execução,896,2022-06-03 00:56:27,2022-06-10 15:08:31,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Orçamento""), Label(name=""[0] Coleta""), Label(name=""subtag-Execução"")]",closed
3858,Coletor para o template Siplanweb - Servidores Públicos - Relatórios Mensais de Despesas,475,2022-03-31 13:52:45,2022-04-18 23:44:39,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Servidores Públicos""), Label(name=""subtag-Relatórios Despesas com Pessoal"")]",closed
3859,Coletor para o template ADPM (22) - Orçamento - Legislação,897,2022-06-08 00:37:54,2022-06-14 01:12:58,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Orçamento""), Label(name=""subtag-Legislação""), Label(name=""[0] Coleta"")]",closed
3860,Coletor para o template Siplanweb - Obras Públicas,480,2022-04-13 11:34:34,2022-04-13 11:54:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Obras Públicas""), Label(name=""não-localizado"")]",closed
3861,Coletor para o template Betha - Orçamento - Legislação,1043,2022-07-13 02:21:15,2022-07-28 10:53:19,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Orçamento""), Label(name=""subtag-Legislação"")]",closed
