#Rank,Municipio (Planilha),Municipio (Clustering),Desenvolvedor (Planilha),Template (Clustering),template_name_size,cluster_id,Portal da Transparência (validado)
626,Piedade dos Gerais,Piedade dos Gerais,prefeitura,sem_nome_no_clustering,,55.0,https://piedadedepontenova.mg.gov.br/acesso-a-informacao
477,Reduto,Reduto,prefeitura,template3,Template3 (5),85.0,https://reduto.mg.gov.br/transparencia/
579,Rio Espera,Rio Espera,prefeitura,siplanweb,Siplanweb (61),1.0,https://publicacao.rioespera.mg.gov.br/
430,Rodeiro,Rodeiro,prefeitura,sem_nome_no_clustering,,110.0,https://transparencia.rodeiro.mg.gov.br/
650,Santa Cruz do Escalvado,Santa Cruz do Escalvado,prefeitura,sem_nome_no_clustering,,734.0,http://www.santacruzdoescalvado.mg.gov.br/index.php/santa-cruz-transparente
723,Santa Fé de Minas,Santa Fé de Minas,prefeitura,sem_nome_no_clustering,,631.0,https://santafedeminas.mg.gov.br/transparencia/
530,Santa Helena de Minas,Santa Helena de Minas,prefeitura,sem_nome_no_clustering,,334.0,https://transparencia.santahelenademinas.mg.gov.br/
712,Santana do Deserto,Santana do Deserto,prefeitura,sem_nome_no_clustering,,440.0,https://santanadodeserto.mg.gov.br/transparencia/
745,Santo Antônio do Aventureiro,Santo Antônio do Aventureiro,prefeitura,sem_nome_no_clustering,,634.0,http://www.pmsaa.mg.gov.br/transparencia/
811,Sem-Peixe,Sem-Peixe,prefeitura,sem_nome_no_clustering,,55.0,https://sempeixe.mg.gov.br/acesso-a-informacao
853,Serra da Saudade,Serra da Saudade,prefeitura,sem_nome_no_clustering,,177.0,http://serradasaudade.com/recursos_humanos.html
